titre_normalise,frequence
5 deroutements sur lys cause fermeture espace aerien gva,1
rambarde escabeau avant non deployee,1
fod - goupille,1
"probleme technique avion - train d'atterrissage, etare",1
approche finale interrompue,1
possible fod liquide,1
comite securite aire de trafic - programme de controle des fod,1
fod - fusible push - presence d'une goupille de barre de push dans pneumatique,1
chargement bagage non conforme,1
dysfonctionnement mosquito/asmgcs,1
dysfonctionnement farms / path management,1
collision entre aeronef et infrastructure,1
defaillance de la barre d'arret commandable b4 - non avere,1
"fod - glycol, procedure de degivrage et anti-givrage",1
perte des minimas de separation a la piste entre att/dec,1
fod kerozene - surface inferieure a 1 m²,1
repoussage sans clairance (contact radio),1
probleme technique avion - crevaison sur piste,1
contact visuel pendant refuelling bloque par placement d'un ambulift,1
collision entre gpu et trappe 400 hz,1
procedure de repoussage,1
7 deroutements sur lys cause meteo a cdg/ory,1
probleme technique avion - frein,1
deroutement sur lys cause fermeture piste gva,1
3 deroutements sur lys cause meteo a cmf,1
stationnement gse sur zep,1
2 deroutements sur lys cause meteo a nte,1
3 deroutements sur lys cause couvre feu a gva,1
probleme technique avion - fumee a bord - etat d'alerte sslia,1
incursion aire de manœuvre,1
fod - materiel en zec,1
fod - detritus,1
deroutement de 7 vols sur lys cause episode neigeux sur ory,1
baisse du np sslia np5 a np2 cause tache annexe,1
fod - presence de rivet,1
fod - visseries boulonneries dans pneumatique,1
deroutement sur lys cause probleme technique - suspicion de feu dans le cockpit,1
parking non adapate au type avion,1
mauvais placement avion d63,1
encombrement voie de circulation essencier - non averee,1
deroutement su lys cause couvre feux sur gva,1
fod - presence de visserie dans pneumatique,1
agents essenciers souffles par helicoptere,1
collision entre help et mur du satellite,1
depart de feux sur aeronef,1
passager ayant acceder a l'avion malgre refus d'embarquement,1
non respect des regles de circulation cp par help,1
deroutement sur lys cause meteo a ebu,1
"fod jet-a1 - epandage, surface superieure a 50m²",1
dysfonctionnement alarme incendie sslia,1
baisse du np sslia en np0 - sans impact operationnel,1
fod vegetal,1
remise de gaz - piste occupee,1
"fod - deversement kerosene (ordre de plein non conforme), surface superieure a 1m²",1
incendie loader en zone apparaux,1
deroutement sur lys cause couvre-feu sur gva,1
deroutement sur lys cause probleme technique avion,1
deroutement sur lys cause meteo sur cmf,1
suspicion presence de drone,1
deroutement sur lys cause meteo sur lyn,1
remise de gaz - rapprochement en finale,1
baisse np - tache annexe,1
fod - clou,1
deroutement su lys cause probleme technique avion,1
probleme technique avion - defaut circuit hydraulique,1
retour parking cause bagage soute embarque sans le pax,1
retour parking avion cause pax malade,1
rapprochement de deux aeronefs - remise de gaz,1
fod - rivet,1
roulage non conforme - feux anticollision eteints,1
collision animaliere,1
probleme technique avion fumee dans l'aeronef - intervention sslia,1
probleme communication adl/sna (intervention glide 35l),1
erreur placement avion,1
probleme technique avion - panne electrique et radio,1
deroutement sur lys cause paxi,1
dysfonctionnement balisage travaux - non avere,1
avion bloque sur piste - a4 ferme pour travaux,1
fod - flamme,1
retour parking aeronef,1
fod - boulons,1
remise de gaz - vent arriere,1
croisement de flux passagers,1
donnees meteo indisponibles - cable sectionne,1
collision passerelle avec chariot,1
fod - visserie boulonnerie,1
probleme technique avion - etat d'alerte niveau 3,1
deroutement sur lys cause meteo a bod,1
probleme technique avion fumee dans cockpit - etat d'alerte sslia,1
suspicion de collision aviaire,1
deroutement sur lys couvre feux bsl,1
roulage avion non conforme,1
retour terrain cause probleme technique - etare niveau 1,1
retour parking avion cause panne moteur,1
incursion piste par avion et acceleration-arret,1
presence drone,1
fdo liquide hydraulique - fuite hydraulique loader,1
groupe de travail rh/sgs/managers,1
probleme technique avion - givrage carburant et etat alerte sslia,1
collision aviaire - fod faune,1
non respect des regles de circulation cp,1
fod bris de verre pare-brise vehicule,1
fod huile train avant avion - surface superieure a 1m²,1
gene au pilote lors du marshalling par un vehicule,1
qrf - probleme hydraulique avion,1
gene du marshaller par 2 vehicules en circulation sur la route de service,1
fuite huile moteur - gpu,1
fod - piece metallique en plomb,1
push and hold non effectue,1
incursion avion sur voie de sortie de piste,1
reprise peinture zone de toucher des roues 17l,1
collision uld aeronef (porte cargo) lors du chargement,1
"fod (boulons, cordes, sangles, dechets plastiques, ...)",1
fod aeronautique - ecrou sur piste,1
fod sur axe de piste,1
fod gasoil - fuite escabeau,1
degradation de l'etat de la surface en j39,1
evt/25/9566 trajectoire avion coupee par un vehicule de service a lys,1
quasi-refus priorite avion au roulage,1
interruption repoussage cause conflit avec avion au roulage,1
"remise de gaz - approche non stabilisee, vent de travers",1
"fod gasoil - fuite push, surface superieure a 1m²",1
"fod gasoil - fuite gse, surface superieur a 1m²",1
non respect du psi - utilisation du telephone lors de l'avitaillement,1
repoussage non conforme - interruption en raison d'une panne de push,1
procedure push non respectee par le mecanicien a bord,1
remise de gaz - probleme technique avion,1
